2000,Elijah Lagat,Kenya,2:09:47,,men
2001,Lee Bong-Ju,South Korea,2:09:43,,men
2002,Rodgers Rop,Kenya,2:09:02,,men
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11,,men
2004,Timothy Cherigat,Kenya,2:10:37,,men
2005,Hailu Negussie,Ethiopia,2:11:44,,men
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14,2nd victory,men
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13,3rd victory,men
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:45,4th victory,men
2009,Deriba Merga,Ethiopia,2:08:42,,men
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,,men
2011,Geoffrey Mutai,Kenya,2:03:02,Current men's course record,men
2012,Wesley Korir,Kenya,2:12:40,,men
2013,Lelisa Desisa Benti,Ethiopia,2:10:22,,men
2014,Meb Keflezighi,United States (CA),2:08:37,First American win since 1983,men
2015,Lelisa Desisa Benti,Ethiopia,2:09:17,2nd victory,men
2016,Lemi Berhanu Hayle,Ethiopia,2:12:45,,men
2017,Geoffrey Kirui,Kenya,2:09:37,,men
